game_title,game_release_date,game_critic_score,game_user_score,video_number,video_total_views,video_total_likes,video_total_dislikes,video_total_favorites,video_total_comments,game_total_critic_reviews,game_total_user_reviews,game_type,game_rating,game_critic_positive_reviews,game_critic_mixed_reviews,game_critic_negative_reviews,game_user_positive_reviews,game_user_mixed_reviews,game_user_negative_reviews,game_name,links,global_sales
Neverwinter Nights 2: Mask of The Betrayer,2007-10-09,82,8.5,2,686,20,1,0,6,25,193,"Role-Playing, PC-style RPG, PC-style RPG, Western-Style",T,22,3,0,25,5,5, Neverwinter Nights 2,http://www.vgchartz.com/game/7446/neverwinter-nights-2/,0.02
Aquaria,2007-12-07,82,8.3,4,4721,29,0,0,0,7,104,"Action Adventure, Fantasy, General, Fantasy",E,6,1,0,25,1,1, Aquaria,http://www.vgchartz.com/gamedb/?name=+Aquaria,NA
S.T.A.L.K.E.R.: Shadow of Chernobyl,2007-03-20,82,8.4,NA,0,0,0,0,0,44,1134,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",M,37,7,0,185,41,41, S.T.A.L.K.E.R.: Shadow of Chernobyl,http://www.vgchartz.com/game/12826/stalker-shadow-of-chernobyl/,0.06
Supreme Commander: Forged Alliance,2007-11-06,81,8.9,4,48207,291,8,0,97,35,221,"Strategy, Real-Time, Sci-Fi, Sci-Fi, General, Command",E10+,31,4,0,42,5,5, Supreme Commander: Forged Alliance,http://www.vgchartz.com/game/13157/supreme-commander-forged-alliance/,0.04
Jade Empire: Special Edition,2007-02-26,81,8.2,4,1891306,3862,344,0,258,29,248,"Role-Playing, Action RPG, Action RPG",M,24,5,0,22,14,14, Jade Empire: Special Edition,http://www.vgchartz.com/game/26515/jade-empire-special-edition/,0
Overlord,2007-06-26,81,8.1,6,430111,4034,53,0,801,27,229,"Action Adventure, Fantasy, General, Fantasy",T,22,5,0,34,7,7, Overlord,http://www.vgchartz.com/game/13073/overlord/,0.02
Age of Empires III: The Asian Dynasties,2007-10-23,81,8.5,NA,0,0,0,0,0,19,75,"Strategy, Real-Time, Historic, Historic, Command",T,17,2,0,9,1,1, Age of Empires III: The Asian Dynasties,http://www.vgchartz.com/game/7426/age-of-empires-iii-the-asian-dynasties/,0.07
Titan Quest: Immortal Throne,2007-03-05,80,8.5,NA,0,0,0,0,0,23,225,"Role-Playing, Action RPG, Action RPG",T,20,3,0,41,0,0, Titan Quest: Immortal Throne,http://www.vgchartz.com/game/18612/titan-quest-immortal-throne/,0
Silent Hunter: Wolves of the Pacific,2007-03-20,79,7.1,1,65431,346,11,0,85,22,42,"Simulation, Submarine, Submarine, Marine, Combat",T,16,6,0,4,2,2, Silent Hunter: Wolves of the Pacific,http://www.vgchartz.com/game/15167/silent-hunter-wolves-of-the-pacific/,0.05
Sword of the Stars: Born of Blood,2007-06-05,79,8.1,NA,0,0,0,0,0,9,13,"Strategy, Turn-Based, General, Sci-Fi, Sci-Fi",E10+,8,1,0,4,0,0,Sword of the Stars: Born of Blood,http://www.vgchartz.com/gamedb/?name=Sword+of+the+Stars%3A+Born+of+Blood,0
Guitar Hero III: Legends of Rock,2007-11-13,79,7.3,1,51689,425,4,0,158,15,64,"Action, Miscellaneous, Rhythm, Music, Music",T,11,4,0,9,2,2, Guitar Hero III: Legends of Rock,http://www.vgchartz.com/game/22012/guitar-hero-iii-legends-of-rock/,0.02
Guild Wars: Eye of the North,2007-08-28,79,8.4,8,49376,275,5,0,75,20,72,"Role-Playing, General, General",T,15,5,0,8,2,2, Guild Wars,http://www.vgchartz.com/game/7417/guild-wars/,0.04
The Sims 2 Seasons,2007-02-27,78,7.3,4,460022,3123,54,0,835,20,29,"Miscellaneous, Virtual Life",T,15,5,0,4,1,1, The Sims 2,http://www.vgchartz.com/game/6479/the-sims-2/,0.29
Viva Pinata,2007-11-06,78,7.8,NA,0,0,0,0,0,20,20,"Simulation, Miscellaneous, Virtual Life, Virtual, Virtual Life",E,17,2,1,2,0,0, Viva Pinata,http://www.vgchartz.com/game/13239/viva-pinata/,0.02
Medal of Honor: Airborne,2007-09-04,78,7.3,2,17855,161,4,0,38,38,206,"Action, Shooter, Shooter, First-Person, Historic, Historic, Arcade",T,26,12,0,20,10,10, Medal of Honor: Airborne,http://www.vgchartz.com/game/21980/medal-of-honor-airborne/,0.05
Tabula Rasa,2007-10-30,78,8,NA,0,0,0,0,0,34,105,"Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Sci-Fi",T,28,6,0,40,9,9,Tabula Rasa,http://www.vgchartz.com/gamedb/?name=Tabula+Rasa,0
Universe at War: Earth Assault,2007-12-10,77,8.5,2,1002,12,0,0,1,48,142,"Strategy, Real-Time, Sci-Fi, Sci-Fi, General",T,33,15,0,47,12,12, Universe at War: Earth Assault,http://www.vgchartz.com/game/14502/universe-at-war-earth-assault/,0.01
FIFA Soccer 08,2007-10-09,77,6.1,1,4393,29,0,0,4,7,50,"Sports, Traditional, Team, Soccer, Sim, Sim",E,4,3,0,4,7,7, FIFA Soccer 08,http://www.vgchartz.com/game/7651/fifa-soccer-08/,0.02
Battlestations: Midway,2007-01-30,76,7.3,NA,0,0,0,0,0,20,46,"Strategy, Real-Time, Historic, General, Historic",T,12,8,0,7,7,7, Battlestations: Midway,http://www.vgchartz.com/game/24742/battlestations-midway/,0.01
Tom Clancy's Ghost Recon Advanced Warfighter 2,2007-07-17,76,7.2,1,5858,51,7,0,2,24,66,"Action, Shooter, Shooter, First-Person, Tactical, Modern, Modern",T,15,9,0,6,8,8, Tom Clancy's Ghost Recon Advanced Warfighter 2,http://www.vgchartz.com/game/16128/tom-clancys-ghost-recon-advanced-warfighter-2/,0.01
Geometry Wars: Retro Evolved,2007-03-07,76,8.6,NA,0,0,0,0,0,7,82,"Action, Shooter, Shooter, Static, Static",E,4,3,0,25,4,4,Geometry Wars: Retro Evolved,http://www.vgchartz.com/gamedb/?name=Geometry+Wars%3A+Retro+Evolved,0
Resident Evil 4,2007-05-15,76,7.4,20,900410,6074,76,0,1481,15,253,"Action Adventure, Horror, Horror, Survival",M,8,7,0,24,20,20, Resident Evil 4,http://www.vgchartz.com/game/70995/resident-evil-4/,0.03
City Life: World Edition,2007-02-09,75,8.2,NA,0,0,0,0,0,7,9,"Strategy, Breeding/Constructing, Management, Breeding/Constructing, Business / Tycoon",E,3,4,0,3,0,0, City Life: World Edition,http://www.vgchartz.com/game/27048/city-life-world-edition/,0.04
Sega Rally Revo,2007-11-19,74,7.6,1,93,4,0,0,1,9,18,"Driving, Racing, Arcade, Rally / Offroad, Rally / Offroad, Automobile",E,7,1,1,2,1,1, Sega Rally Revo,http://www.vgchartz.com/game/23580/sega-rally-revo/,0.01
ArmA: Combat Operations,2007-05-04,74,8,1,54366,488,8,0,129,27,79,"Action, Shooter, Shooter, First-Person, Modern, Modern, Arcade",M,11,16,0,32,4,4, ArmA: Combat Operations,http://www.vgchartz.com/gamedb/?name=+ArmA%3A+Combat+Operations,NA
Destination: Treasure Island,2007-08-21,74,7.7,6,807282,5763,148,0,1871,11,6,"Adventure, First-Person, General, Point-and-Click, Fantasy",E10+,8,3,0,1,0,0,Destination: Treasure Island,http://www.vgchartz.com/gamedb/?name=Destination%3A+Treasure+Island,0
Call of Juarez,2007-06-12,72,7.8,1,30,2,0,0,0,25,228,"Action, Shooter, Shooter, First-Person, Historic, Historic, Arcade",M,12,11,2,29,9,9, Call of Juarez,http://www.vgchartz.com/game/27047/call-of-juarez/,0.01
Halo 2,2007-05-31,72,5.5,1,52,3,0,0,0,32,217,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",M,14,18,0,22,11,11, Halo 2,http://www.vgchartz.com/game/12372/halo-2/,0.09
Hellgate: London,2007-10-31,70,6.3,2,94874,1502,36,0,298,40,377,"Role-Playing, First-Person, First-Person",M,11,27,2,76,43,43, Hellgate: London,http://www.vgchartz.com/game/18611/hellgate-london/,0.02
Thrillville: Off the Rails,2007-10-09,70,3.2,NA,0,0,0,0,0,8,35,"Strategy, General, General",E10+,4,3,1,1,2,2, Thrillville: Off the Rails,http://www.vgchartz.com/game/30012/thrillville-off-the-rails/,0
Need for Speed: ProStreet,2007-11-13,70,5.9,NA,0,0,0,0,0,18,169,"Driving, Racing, Simulation, GT / Street, GT / Street, Automobile",E10+,7,11,0,6,10,10, Need for Speed: ProStreet,http://www.vgchartz.com/game/15254/need-for-speed-prostreet/,0.04
Top Spin 2,2007-03-16,70,7.2,3,83568,480,14,0,186,8,20,"Sports, Traditional, Individual, Tennis, Tennis",E,2,6,0,2,1,1, Top Spin 2,http://www.vgchartz.com/game/33429/top-spin-2/,0
Nostradamus: The Last Prophecy,2007-09-30,70,5.9,6,43803,1000,37,0,123,10,8,"Adventure, General, General",E10+,2,7,1,1,1,1, Nostradamus: The Last Prophecy,http://www.vgchartz.com/game/26388/nostradamus-the-last-prophecy/,0
Heroes of Might and Magic V: Tribes of the East,2007-10-16,70,8.6,2,226,2,1,0,0,8,91,"Strategy, Turn-Based, Fantasy, General, Fantasy",T,3,5,0,9,0,0, Heroes of Might and Magic V: Tribes of the East,http://www.vgchartz.com/game/26031/heroes-of-might-and-magic-v-tribes-of-the-east/,0
Rag Doll Kung Fu,2007-02-12,69,5,18,824578,6207,130,0,1273,7,107,"Action, Fighting, Fighting, 2D, 2D",T,3,4,0,21,9,9,Rag Doll Kung Fu,http://www.vgchartz.com/gamedb/?name=Rag+Doll+Kung+Fu,0
FreeStyle Street Basketball,2007-05-15,69,8.1,1,3527893,20833,1149,0,5655,11,9,"Sports, Traditional, Basketball, Arcade",E,2,9,0,4,2,2,FreeStyle Street Basketball,http://www.vgchartz.com/gamedb/?name=FreeStyle+Street+Basketball,NA
UFO: Extraterrestrials,2007-05-04,68,6.9,2,88,5,0,0,1,15,35,"Strategy, Turn-Based, Sci-Fi, Sci-Fi, Tactics",E10+,5,10,0,7,3,3, UFO: Extraterrestrials,http://www.vgchartz.com/game/34309/ufo-extraterrestrials/,0.01
Fantasy Wars,2007-11-08,67,8.4,4,14959,120,4,0,19,22,42,"Strategy, Turn-Based, Fantasy, Fantasy, Tactics",T,10,10,2,13,2,2, Fantasy Wars,http://www.vgchartz.com/game/24382/fantasy-wars/,0
Shadowrun,2007-05-29,67,6.3,1,370,9,0,0,0,30,36,"Action, Shooter, Shooter, First-Person, Fantasy, Fantasy, Arcade",M,8,21,1,6,1,1, Shadowrun,http://www.vgchartz.com/game/13312/shadowrun/,0
