game_title,game_release_date,game_critic_score,game_user_score,video_number,video_total_views,video_total_likes,video_total_dislikes,video_total_favorites,video_total_comments,game_total_critic_reviews,game_total_user_reviews,game_type,game_rating,game_critic_positive_reviews,game_critic_mixed_reviews,game_critic_negative_reviews,game_user_positive_reviews,game_user_mixed_reviews,game_user_negative_reviews,game_name,links,global_sales
Penumbra: Black Plague,2008-02-13,78,8.7,NA,0,0,0,0,0,29,181,"Action Adventure, Horror, Horror",M,21,8,0,40,2,2,Penumbra: Black Plague,http://www.vgchartz.com/gamedb/?name=Penumbra%3A+Black+Plague,0
Bejeweled Twist,2008-10-27,78,7.3,20,1171011,19981,463,0,3885,12,11,"Miscellaneous, Puzzle, Puzzle, Puzzle, Matching, Matching",E,8,4,0,2,0,0, Bejeweled Twist,http://www.vgchartz.com/game/33580/bejeweled-twist/,0.05
FIFA Soccer 09,2008-10-14,77,6.8,NA,0,0,0,0,0,15,36,"Sports, Traditional, Team, Soccer, Sim, Sim",E,11,4,0,1,1,1, FIFA Soccer 09,http://www.vgchartz.com/game/25799/fifa-soccer-09/,0.02
Command & Conquer 3: Kane's Wrath,2008-03-24,77,8.1,39,1944488,12062,244,0,2647,44,107,"Strategy, Real-Time, Sci-Fi, Sci-Fi, General",T,32,12,0,11,8,8, Command & Conquer 3: Kane's Wrath,http://www.vgchartz.com/game/15705/command-amp-conquer-3-kanes-wrath/,0.02
Pirates of the Burning Sea,2008-01-21,76,7.6,2,27,1,0,0,0,30,61,"Role-Playing, Massively Multiplayer Online, Historic",T,23,6,1,17,3,3, Pirates of the Burning Sea,http://www.vgchartz.com/game/26484/pirates-of-the-burning-sea/,0.02
S.T.A.L.K.E.R.: Clear Sky,2008-09-15,75,7.7,4,230238,2218,45,0,475,47,499,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi",M,24,22,1,45,28,28, S.T.A.L.K.E.R.: Clear Sky,http://www.vgchartz.com/game/25387/stalker-clear-sky/,0.04
A Vampyre Story,2008-12-02,75,8.5,18,733754,18183,1154,0,3202,33,25,"Adventure, General, General, Point-and-Click",T,19,12,2,3,0,0, A Vampyre Story,http://www.vgchartz.com/game/26652/a-vampyre-story/,0.02
The Sims 2: FreeTime,2008-02-26,74,7.3,6,558484,4643,84,0,1078,13,17,"Simulation, Miscellaneous, Virtual Life, Virtual, Virtual Life",T,7,5,1,2,0,0, The Sims 2: FreeTime,http://www.vgchartz.com/game/18980/the-sims-2-freetime/,0
Europa Universalis: Rome,2008-04-15,73,6.3,3,629453,4169,154,0,1349,19,43,"Strategy, General, General",E10+,11,8,0,2,1,1, Europa Universalis: Rome,http://www.vgchartz.com/game/17394/europa-universalis-rome/,0
Frontlines: Fuel of War,2008-02-25,73,6.9,NA,0,0,0,0,0,19,172,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",T,9,10,0,26,12,12, Frontlines: Fuel of War,http://www.vgchartz.com/game/21913/frontlines-fuel-of-war/,0.02
"Warhammer 40,000: Dawn of War - Soulstorm",2008-03-04,73,8.1,8,115911,690,10,0,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, Warhammer 40,http://www.vgchartz.com/game/20078/warhammer-40000-dawn-of-war-ii/,0.47
Neverwinter Nights 2: Storm of Zehir,2008-11-18,73,7.2,2,68349,369,10,0,89,15,69,"Role-Playing, PC-style RPG, PC-style RPG, Western-Style",T,7,8,0,8,3,3, Neverwinter Nights 2: Storm of Zehir,http://www.vgchartz.com/game/28309/neverwinter-nights-2-storm-of-zehir/,0.01
Bully: Scholarship Edition,2008-10-21,72,7.5,14,1141735,6680,81,0,842,11,267,"Action Adventure, Modern, Modern, Open-World",T,6,4,1,34,15,15, Bully: Scholarship Edition,http://www.vgchartz.com/game/27620/bully-scholarship-edition/,0.03
Crazy Machines 2,2008-06-20,72,7.4,3,60690,396,10,0,66,12,20,"Miscellaneous, Puzzle, Puzzle, Puzzle, Logic, General",E,5,7,0,1,0,0, Crazy Machines 2,http://www.vgchartz.com/gamedb/?name=+Crazy+Machines+2,NA
Rail Simulator,2008-01-16,72,6.9,23,425111,3494,69,0,940,13,24,"Simulation, Train, Train",E,6,7,0,4,1,1, Rail Simulator,http://www.vgchartz.com/game/15074/rail-simulator/,0.01
The Lost Crown: A Ghost-hunting Adventure,2008-03-03,71,7.5,1,323,6,0,0,1,23,26,"Action Adventure, Horror, Horror, Survival",T,10,12,1,3,1,1, The Lost Crown: A Ghost-hunting Adventure,http://www.vgchartz.com/game/16997/the-lost-crown-a-ghost-hunting-adventure/,0
Sherlock Holmes: Nemesis,2008-04-14,71,7.5,NA,0,0,0,0,0,20,20,"Adventure, First-Person, Modern, Modern",E10+,7,13,0,1,3,3, Sherlock Holmes: Nemesis,http://www.vgchartz.com/game/18654/sherlock-holmes-nemesis/,0
Sacred 2: Fallen Angel,2008-11-11,71,6.8,5,1415,25,0,0,1,41,206,"Role-Playing, Action RPG, Action RPG",M,21,19,1,22,9,9, Sacred 2: Fallen Angel,http://www.vgchartz.com/game/26408/sacred-2-fallen-angel/,0.06
DreamWorks Kung Fu Panda,2008-06-03,71,7.8,NA,0,0,0,0,0,11,12,"Action, Platformer, Platformer, 3D, 3D",E10+,4,6,1,1,1,1,DreamWorks Kung Fu Panda,http://www.vgchartz.com/gamedb/?name=DreamWorks+Kung+Fu+Panda,NA
Romance of the Three Kingdoms XI,2008-09-09,70,8.3,NA,0,0,0,0,0,11,43,"Strategy, Turn-Based, Historic, General, Historic",E10+,4,6,1,12,0,0,Romance of the Three Kingdoms XI,http://www.vgchartz.com/gamedb/?name=Romance+of+the+Three+Kingdoms+XI,0
007: Quantum of Solace,2008-11-04,70,6.3,18,500834,3971,110,0,1143,18,55,"Action, General, Shooter, Shooter, First-Person, Modern, Modern, Arcade",T,5,13,0,4,5,5, 007: Quantum of Solace,http://www.vgchartz.com/game/21878/007-quantum-of-solace/,0.03
Lost Planet: Extreme Condition Colonies Edition,2008-05-27,70,7.4,7,209068,791,49,0,99,7,39,"Action, Shooter, Shooter, Third-Person, Sci-Fi, Sci-Fi, Arcade",T,3,4,0,0,1,1, Lost Planet: Extreme Condition,http://www.vgchartz.com/game/22928/lost-planet-extreme-condition/,0
Mercenaries 2: World in Flames,2008-09-04,70,6,6,1198,18,1,0,18,20,65,"Action Adventure, Modern, Modern, Open-World",T,6,14,0,4,7,7, Mercenaries 2: World in Flames,http://www.vgchartz.com/game/21594/mercenaries-2-world-in-flames/,0
Nancy Drew: The Phantom of Venice,2008-07-11,69,6.8,7,274122,2083,38,0,488,7,9,"Adventure, General, General",E,3,3,1,1,1,1, Nancy Drew: The Phantom of Venice,http://www.vgchartz.com/game/23246/nancy-drew-the-phantom-of-venice/,0.01
Sinking Island,2008-08-21,68,7.1,4,31567,301,12,0,125,8,20,"Adventure, 3D, Modern, Third-Person, Modern",T,1,7,0,0,1,1, Sinking Island,http://www.vgchartz.com/game/32628/sinking-island/,0
The Experiment,2008-02-05,68,6.5,3,23057,160,3,0,23,18,11,"Adventure, General, General",T,6,11,1,0,1,1,The Experiment,http://www.vgchartz.com/gamedb/?name=The+Experiment,0
Penumbra: Requiem,2008-08-27,67,5.8,1,5976,61,0,0,14,14,85,"Action Adventure, Horror, Horror, Survival",M,4,8,2,6,8,8,Penumbra: Requiem,http://www.vgchartz.com/gamedb/?name=Penumbra%3A+Requiem,0
Batman: Arkham Asylum,2009-09-15,91,8.7,3,11331,61,1,0,18,29,1786,"Action Adventure, Fantasy, General, Fantasy",T,29,0,0,190,31,31, Batman: Arkham Asylum,http://www.vgchartz.com/game/31495/batman-arkham-asylum/,0.32
Street Fighter IV,2009-07-01,91,8,2,768121,4101,55,0,1097,23,359,"Action, Fighting, Fighting, 3D, 2D, 3D",T,23,0,0,21,4,4, Street Fighter IV,http://www.vgchartz.com/game/25077/street-fighter-iv/,0.13
Dragon Age: Origins,2009-11-03,91,8.7,35,1700087,10791,284,0,2074,67,3643,"Role-Playing, PC-style RPG, PC-style RPG, Western-Style",M,66,1,0,472,88,88, Dragon Age: Origins,http://www.vgchartz.com/game/33504/dragon-age-origins/,0.51
Braid,2009-04-10,90,8.7,NA,0,0,0,0,0,11,832,"Action, Platformer, Platformer, 2D, 2D",E10+,11,0,0,121,15,15, Braid,http://www.vgchartz.com/game/25237/braid/,0.03
Empire: Total War,2009-03-03,90,6.9,NA,0,0,0,0,0,62,2994,"Strategy, Real-Time, Historic, General, Historic",T,61,1,0,326,186,186, Empire: Total War,http://www.vgchartz.com/game/24380/empire-total-war/,1.09
Left 4 Dead 2,2009-11-17,89,8.4,8,357596,2598,86,0,353,55,2583,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Tactical",M,55,0,0,343,76,76, Left 4 Dead 2,http://www.vgchartz.com/game/35022/left-4-dead-2/,0.36
DiRT 2,2009-12-08,89,8.2,NA,0,0,0,0,0,22,357,"Driving, Racing, Simulation, Rally / Offroad, Rally / Offroad, Automobile",T,22,0,0,37,5,5, DiRT 2,http://www.vgchartz.com/game/35654/dirt-2/,0.05
EVE Online: Special Edition,2009-03-10,88,7.7,3,3280367,28472,705,0,3166,9,376,"Role-Playing, Miscellaneous, Massively Multiplayer Online, Compilation, Sci-Fi",T,9,0,0,96,18,18, EVE Online,http://www.vgchartz.com/game/27062/eve-online/,0.2
Plants vs. Zombies,2009-05-05,87,8.9,25,1807330,12371,355,0,2845,41,906,"Strategy, Real-Time, Fantasy, General, Fantasy, Defense",E10+,40,1,0,177,10,10, Plants vs. Zombies,http://www.vgchartz.com/game/34015/plants-vs-zombies/,0.05
Burnout Paradise: The Ultimate Box,2009-02-05,87,7.5,NA,0,0,0,0,0,26,440,"Driving, Racing, Arcade, Arcade, Automobile",E10+,26,0,0,39,15,15, Burnout Paradise: The Ultimate Box,http://www.vgchartz.com/game/21857/burnout-paradise-the-ultimate-box/,0.09
Resident Evil 5,2009-09-15,86,7.1,NA,0,0,0,0,0,30,630,"Action Adventure, Horror, Horror, Survival",M,29,1,0,53,30,30, Resident Evil 5,http://www.vgchartz.com/game/34050/resident-evil-5/,0.07
Call of Duty: Modern Warfare 2,2009-11-10,86,4.2,NA,0,0,0,0,0,40,6462,"Action, Shooter, Shooter, First-Person, Modern, Modern, Arcade",M,36,4,0,329,157,157, Call of Duty: Modern Warfare 2,http://www.vgchartz.com/game/28849/call-of-duty-modern-warfare-2/,0.88
The Secret of Monkey Island: Special Edition,2009-07-15,86,9,4,347167,1757,64,0,562,23,293,"Adventure, General, General, Point-and-Click",E10+,22,1,0,30,3,3,The Secret of Monkey Island: Special Edition,http://www.vgchartz.com/gamedb/?name=The+Secret+of+Monkey+Island%3A+Special+Edition,0
"Warhammer 40,000: Dawn of War II",2009-02-18,85,8.1,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, Warhammer 40,http://www.vgchartz.com/game/20078/warhammer-40000-dawn-of-war-ii/,0.47
The Lord of the Rings Online: Siege of Mirkwood,2009-12-01,83,7.1,3,5445,27,1,0,5,8,46,"Role-Playing, Massively Multiplayer Online, Fantasy, Fantasy",T,8,0,0,5,3,3,The Lord of the Rings Online: Siege of Mirkwood,http://www.vgchartz.com/gamedb/?name=The+Lord+of+the+Rings+Online%3A+Siege+of+Mirkwood,NA
Out of the Park Baseball 10,2009-06-02,83,8.3,NA,0,0,0,0,0,7,36,"Sports, Traditional, Baseball, Management",NA,7,0,0,7,0,0,Out of the Park Baseball 10,http://www.vgchartz.com/gamedb/?name=Out+of+the+Park+Baseball+10,0
Need for Speed: Shift,2009-09-15,83,5.8,NA,0,0,0,0,0,22,392,"Driving, Racing, Simulation, GT / Street, GT / Street, Automobile",E,21,1,0,38,23,23, Need for Speed: Shift,http://www.vgchartz.com/game/31148/need-for-speed-shift/,0.06
Torchlight,2009-10-27,83,8,NA,0,0,0,0,0,57,800,"Role-Playing, Action RPG, Action RPG",T,50,7,0,164,41,41, Torchlight,http://www.vgchartz.com/game/38915/torchlight/,0.07
Red Faction: Guerrilla,2009-09-15,82,7.6,4,6556,84,2,0,18,29,310,"Action, Shooter, Shooter, Third-Person, Sci-Fi, Sci-Fi, Arcade",M,25,4,0,37,27,27, Red Faction: Guerrilla,http://www.vgchartz.com/game/18683/red-faction-guerrilla/,0.03
DCS: Black Shark,2009-04-13,82,8.5,1,3,0,0,0,0,12,54,"Simulation, Flight, Helicopter, Helicopter, Civilian",T,9,3,0,6,0,0,DCS: Black Shark,http://www.vgchartz.com/gamedb/?name=DCS%3A+Black+Shark,0
King's Bounty: Armored Princess,2009-11-19,82,8.5,8,33928,164,4,0,13,25,165,"Role-Playing, Strategy, Turn-Based, General, General",T,23,2,0,11,6,6, King's Bounty: Armored Princess,http://www.vgchartz.com/game/40507/kings-bounty-armored-princess/,0.01
Mirror's Edge,2009-01-12,81,8.1,11,1683428,13457,273,0,2097,44,1050,"Action, Shooter, First-Person, Modern, Action Adventure, Modern, General, Modern",T,37,7,0,132,51,51, Mirror's Edge,http://www.vgchartz.com/game/21687/mirrors-edge/,0.06
Osmos,2009-08-18,80,7.6,1,255,7,1,0,0,22,141,"Miscellaneous, Puzzle, Puzzle, General, Puzzle, General",E,18,4,0,15,12,12,Osmos,http://www.vgchartz.com/gamedb/?name=Osmos,0
The Chronicles of Riddick: Assault on Dark Athena,2009-04-07,80,8,8,136375,759,13,0,266,26,138,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",M,21,5,0,16,5,5, The Chronicles of Riddick: Assault on Dark Athena,http://www.vgchartz.com/game/30394/the-chronicles-of-riddick-assault-on-dark-athena/,0.01
AI War: Fleet Command,2009-05-14,80,8.3,1,66130,362,20,0,58,8,100,"Strategy, Real-Time, Sci-Fi, Sci-Fi, General",NA,6,2,0,30,2,2, AI War: Fleet Command,http://www.vgchartz.com/gamedb/?name=+AI+War%3A+Fleet+Command,NA
Trine,2009-07-02,80,8.2,2,768131,4101,55,0,1097,50,498,"Action, Action Adventure, Fantasy, General, Platformer, Fantasy, 2D",E10+,43,7,0,62,23,23, Trine,http://www.vgchartz.com/game/29606/trine/,0.01
Men of War,2009-03-16,80,8.1,NA,0,0,0,0,0,22,138,"Strategy, Real-Time, Historic, General, Historic",M,18,4,0,30,9,9, Men of War,http://www.vgchartz.com/game/26389/men-of-war/,0.03
Sins of a Solar Empire: Entrenchment,2009-02-25,80,8.2,5,42506,462,1,0,45,12,19,"Strategy, Real-Time, Sci-Fi, Sci-Fi",T,11,0,1,2,0,0, Sins of a Solar Empire,http://www.vgchartz.com/game/15876/sins-of-a-solar-empire/,0.03
The Path,2009-03-18,79,7,5,429615,4018,51,0,793,20,113,"Adventure, Third-Person, Fantasy, Fantasy",NA,14,6,0,18,3,3,The Path,http://www.vgchartz.com/gamedb/?name=The+Path,0
Tropico 3,2009-10-20,79,8.2,NA,0,0,0,0,0,48,187,"Strategy, Tycoon, Management, Tycoon, Government",T,40,8,0,30,10,10, Tropico 3,http://www.vgchartz.com/game/34534/tropico-3/,0.04
Tales of Monkey Island Chapter 1: Launch of the Screaming Narwhal,2009-07-07,79,8.2,5,80925,642,16,0,411,54,69,"Adventure, General, 3D, Fantasy, Third-Person, Fantasy",E10+,41,13,0,11,6,6,Tales of Monkey Island Chapter 1: Launch of the Screaming Narwhal,http://www.vgchartz.com/gamedb/?name=Tales+of+Monkey+Island+Chapter+1%3A+Launch+of+the+Screaming+Narwhal,0
Prototype,2009-06-10,79,7.9,NA,0,0,0,0,0,35,587,"Action Adventure, Sci-Fi, Sci-Fi, Open-World",M,27,8,0,112,27,27,Prototype,http://www.vgchartz.com/gamedb/?name=Prototype,0
Free Realms,2009-04-29,79,6.4,1,1812,91,8,0,20,8,14,"Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Fantasy, Fantasy",E10+,6,2,0,5,1,1,Free Realms,http://www.vgchartz.com/gamedb/?name=Free+Realms,0
Overlord II,2009-06-23,79,8.1,4,414393,2226,79,0,641,32,161,"Action Adventure, Fantasy, General, Fantasy",T,28,4,0,22,6,6, Overlord II,http://www.vgchartz.com/game/31607/overlord-ii/,0.03
F.E.A.R. 2: Project Origin,2009-02-10,79,7.8,NA,0,0,0,0,0,49,532,"Action, Shooter, Shooter, First-Person, Modern, Modern, Arcade",M,39,10,0,53,35,35, F.E.A.R. 2: Project Origin,http://www.vgchartz.com/game/26638/fear-2-project-origin/,0.08
Closure,2009-01-01,78,6.6,NA,0,0,0,0,0,8,61,"Action, Platformer, Platformer, 2D, 2D",NA,7,1,0,8,4,4, Closure,http://www.vgchartz.com/gamedb/?name=+Closure,NA
League of Legends,2009-10-27,78,5.5,NA,0,0,0,0,0,37,2846,"Role-Playing, Strategy, Action RPG, Real-Time, MOBA, MOBA",T,28,9,0,296,138,138,League of Legends,http://www.vgchartz.com/gamedb/?name=League+of+Legends,0
Wings of Prey,2009-12-25,78,7.7,1,1623,18,1,0,19,16,93,"Simulation, Flight, WWII, WWII",T,13,3,0,14,6,6,Wings of Prey,http://www.vgchartz.com/gamedb/?name=Wings+of+Prey,0
Pro Evolution Soccer 2010,2009-10-23,78,6.9,2,186591,1001,13,0,422,8,49,"Sports, Traditional, Team, Soccer, Sim, Sim",E,5,3,0,1,0,0, Pro Evolution Soccer 2010,http://www.vgchartz.com/game/33402/pro-evolution-soccer-2010/,0.01
Call of Juarez: Bound in Blood,2009-06-30,78,8,3,6053,49,1,0,7,39,285,"Action, Shooter, Shooter, First-Person, Historic, Historic, Arcade",M,28,10,1,25,13,13, Call of Juarez: Bound in Blood,http://www.vgchartz.com/game/30703/call-of-juarez-bound-in-blood/,0.03
Nancy Drew: The Ransom of the Seven Ships,2009-07-14,78,8.6,NA,0,0,0,0,0,7,5,"Adventure, 3D, First-Person, Modern",E,NA,NA,NA,NA,NA,NA,Nancy Drew: The Ransom of the Seven Ships,http://www.vgchartz.com/gamedb/?name=Nancy+Drew%3A+The+Ransom+of+the+Seven+Ships,NA
ArmA II,2009-06-26,77,7.5,8,620,13,2,0,3,38,591,"Action, Shooter, Shooter, First-Person, Modern, Modern, Arcade",M,23,15,0,105,37,37, ArmA II,http://www.vgchartz.com/game/31777/arma-ii/,0.14
Hearts of Iron III,2009-08-11,77,7.1,NA,0,0,0,0,0,23,234,"Strategy, Real-Time, Historic, General, Historic",E10+,18,5,0,31,11,11, Hearts of Iron III,http://www.vgchartz.com/game/29831/hearts-of-iron-iii/,0.08
The Void,2009-12-15,77,8.3,1,743285,4466,292,0,336,12,97,"Action Adventure, Adventure, General, Survival",NA,8,4,0,19,3,3, The Void,http://www.vgchartz.com/game/41893/the-void/,0.03
Risen,2009-10-02,77,8.1,1,72329,121,5,0,37,32,691,"Role-Playing, General, General",M,21,11,0,85,25,25, Risen,http://www.vgchartz.com/game/33934/risen/,0.14
X-Men Origins: Wolverine,2009-05-01,77,8.2,1,109,0,0,0,0,22,140,"Action, General, Beat-'Em-Up, 2D, 3D",M,14,8,0,2,4,4,X-Men Origins: Wolverine,NA,NA
Aion,2009-09-22,76,6.6,1,54,0,0,0,0,42,421,"Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Fantasy, Fantasy",T,29,12,1,79,33,33,Aion,NA,NA
Operation Flashpoint: Dragon Rising,2009-10-06,76,4.9,4,4104,58,0,0,8,29,539,"Action, Shooter, Shooter, First-Person, Tactical, Modern, Modern",M,18,11,0,32,32,32, Operation Flashpoint: Dragon Rising,http://www.vgchartz.com/game/23420/operation-flashpoint-dragon-rising/,0.06
The Saboteur,2009-12-08,76,7.9,7,2817586,6195,2310,0,646,20,243,"Action Adventure, Historic, Historic, Open-World",M,13,7,0,38,10,10, The Saboteur,http://www.vgchartz.com/game/33813/the-saboteur/,0.06
Nancy Drew: Warnings at Waverly Academy,2009-10-13,76,6.7,10,72192,302,5,0,131,8,10,"Adventure, 3D, First-Person, Modern, Modern",E,4,4,0,0,1,1,Nancy Drew: Warnings at Waverly Academy,http://www.vgchartz.com/gamedb/?name=Nancy+Drew%3A+Warnings+at+Waverly+Academy,0
"Wallace & Gromit's Grand Adventures, Episode 1: Fright of the Bumblebees",2009-03-23,76,7.5,2,226369,497,87,0,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wallace & Gromit's Grand Adventures, Episode 1: Fright of the Bumblebees",http://www.vgchartz.com/gamedb/?name=Wallace+&+Gromit's+Grand+Adventures%2C+Episode+1%3A+Fright+of+the+Bumblebees,0
Demigod,2009-04-14,76,7.9,NA,0,0,0,0,0,50,185,"Strategy, Real-Time, Fantasy, MOBA, MOBA",T,31,19,0,46,10,10, Demigod,http://www.vgchartz.com/game/26398/demigod/,0.02
"Wallace & Gromit's Grand Adventures, Episode 3: Muzzled!",2009-06-15,75,7.5,1,10,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wallace & Gromit's Grand Adventures, Episode 3: Muzzled!",http://www.vgchartz.com/gamedb/?name=Wallace+&+Gromit's+Grand+Adventures%2C+Episode+1%3A+Fright+of+the+Bumblebees,0
BattleForge,2009-03-23,75,7,5,19864,230,11,0,60,37,113,"Strategy, Real-Time, Fantasy, Fantasy",T,24,13,0,15,2,2, BattleForge,http://www.vgchartz.com/game/29179/battleforge/,0.01
The Dark Eye: Drakensang,2009-02-23,75,8.5,NA,0,0,0,0,0,35,159,"Role-Playing, PC-style RPG",T,23,12,0,24,5,5,The Dark Eye: Drakensang,http://www.vgchartz.com/gamedb/?name=The+Dark+Eye%3A+Drakensang,NA
Battlestations: Pacific,2009-05-12,74,8.4,1,2269,28,1,0,22,31,46,"Strategy, Real-Time, Historic, General, Historic",T,19,12,0,10,1,1, Battlestations: Pacific,http://www.vgchartz.com/game/32029/battlestations-pacific/,0.03
Ghostbusters: The Video Game,2009-06-16,74,7.7,NA,0,0,0,0,0,26,134,"Action, General, General",T,16,10,0,26,13,13,Ghostbusters: The Video Game,http://www.vgchartz.com/gamedb/?name=Ghostbusters%3A+The+Video+Game,0
Wolfenstein,2009-08-18,74,7.2,NA,0,0,0,0,0,41,269,"Action, Shooter, Shooter, First-Person, Historic, Historic, Arcade",M,25,16,0,42,21,21, Wolfenstein,http://www.vgchartz.com/game/34956/wolfenstein/,0.05
Mini Ninjas,2009-09-08,74,8.3,NA,0,0,0,0,0,14,79,"Action Adventure, Adventure, General, Fantasy, General, Fantasy",E10+,6,8,0,15,1,1, Mini Ninjas,http://www.vgchartz.com/game/30852/mini-ninjas/,0.02
RACE On,2009-10-05,73,8.2,1,428,2,2,0,0,14,20,"Driving, Racing, Arcade, Arcade, Automobile",E,8,6,0,1,0,0, RACE On,http://www.vgchartz.com/game/40041/race-on/,0.03
Cogs,2009-04-14,73,7.5,5,9479,113,1,0,19,13,66,"Miscellaneous, Puzzle, Puzzle, General, Puzzle, General",E,6,7,0,14,7,7, Cogs,http://www.vgchartz.com/gamedb/?name=+Cogs,NA
Neverwinter Nights 2: Mysteries of Westgate,2009-04-29,73,7.3,1,255,7,1,0,0,11,19,"Role-Playing, PC-style RPG, PC-style RPG, Western-Style",T,5,6,0,1,0,0, Neverwinter Nights 2,http://www.vgchartz.com/game/7446/neverwinter-nights-2/,0.02
Majesty 2: The Fantasy Kingdom Sim,2009-09-17,72,7.3,NA,0,0,0,0,0,31,129,"Strategy, General, General",T,17,14,0,17,15,15, Majesty 2: The Fantasy Kingdom Sim,http://www.vgchartz.com/game/33991/majesty-2-the-fantasy-kingdom-sim/,0.02
"Wallace & Gromit's Grand Adventures, Episode 4: The Bogey Man",2009-07-30,72,7.9,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wallace & Gromit's Grand Adventures, Episode 4: The Bogey Man",http://www.vgchartz.com/gamedb/?name=Wallace+&+Gromit's+Grand+Adventures%2C+Episode+1%3A+Fright+of+the+Bumblebees,0
Shattered Horizon,2009-11-04,72,8.1,14,715645,5135,136,0,885,30,199,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi",T,16,13,1,28,4,4,Shattered Horizon,http://www.vgchartz.com/gamedb/?name=Shattered+Horizon,0
"Wallace & Gromit's Grand Adventures, Episode 2: The Last Resort",2009-05-05,72,8.6,29,164528,1308,21,0,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wallace & Gromit's Grand Adventures, Episode 2: The Last Resort",http://www.vgchartz.com/gamedb/?name=Wallace+&+Gromit's+Grand+Adventures%2C+Episode+1%3A+Fright+of+the+Bumblebees,0
Section 8,2009-08-25,72,7,14,1077916,8106,100,0,1724,31,79,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",T,15,15,1,17,4,4, Section 8,http://www.vgchartz.com/game/31787/section-8/,0.04
Champions Online,2009-09-01,72,6.2,1,135,3,0,0,0,40,251,"Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Sci-Fi, Sci-Fi",T,21,18,1,42,20,20, Champions Online,http://www.vgchartz.com/game/32001/champions-online/,0.01
Mass Effect 2,2010-01-26,94,8.8,10,888359,5421,82,0,1488,55,3803,"Role-Playing, Action RPG, Action RPG",M,54,1,0,421,97,97, Mass Effect 2,http://www.vgchartz.com/game/28816/mass-effect-2/,0.39
Starcraft II: Wings of Liberty,2010-07-27,93,8.2,3,125411,876,35,0,109,82,3095,"Strategy, Real-Time, Sci-Fi, Command",T,82,0,0,549,144,144,Starcraft II: Wings of Liberty,http://www.vgchartz.com/gamedb/?name=Starcraft+II%3A+Wings+of+Liberty,4.87
World of Warcraft: Cataclysm,2010-12-07,90,5.6,6,654943,5347,167,0,452,53,963,"Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Fantasy, Fantasy",T,53,0,0,54,63,63, World of Warcraft: Cataclysm,http://www.vgchartz.com/game/38102/world-of-warcraft-cataclysm/,2.09
Sid Meier's Civilization V,2010-09-21,90,7.9,3,375244,2261,37,0,431,70,2349,"Strategy, Turn-Based, Historic, Historic, 4X",E10+,66,4,0,255,114,114, Sid Meier's Civilization V,http://www.vgchartz.com/game/43507/sid-meiers-civilization-v/,1.69
BioShock 2,2010-02-09,88,8,16,1045676,5314,306,0,1347,36,1287,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",M,34,2,0,120,35,35, BioShock 2,http://www.vgchartz.com/game/28003/bioshock-2/,0.24
Super Meat Boy,2010-11-30,87,8.3,NA,0,0,0,0,0,11,774,"Action, Platformer, Platformer, 2D, 2D",T,11,0,0,120,14,14, Super Meat Boy,http://www.vgchartz.com/game/39683/super-meat-boy/,0
Battlefield: Bad Company 2,2010-03-02,87,8.3,3,2798,14,3,0,3,46,1491,"Action, Shooter, Shooter, First-Person, Modern, Modern, Arcade",M,45,1,0,271,47,47, Battlefield: Bad Company 2,http://www.vgchartz.com/game/31444/battlefield-bad-company-2/,0.72
Monkey Island 2 Special Edition: LeChuck's Revenge,2010-07-07,87,8.9,8,359305,2358,47,0,456,27,199,"Adventure, General, General, Point-and-Click",E10+,27,0,0,13,2,2,Monkey Island 2 Special Edition: LeChuck's Revenge,http://www.vgchartz.com/gamedb/?name=Monkey+Island+2+Special+Edition%3A+LeChuck's+Revenge,0
Need for Speed: Hot Pursuit,2010-11-16,86,6.7,NA,0,0,0,0,0,14,563,"Driving, Racing, Arcade, Arcade, Automobile",E10+,13,1,0,51,29,29, Need for Speed: Hot Pursuit,http://www.vgchartz.com/game/45659/need-for-speed-hot-pursuit/,0.37
Mass Effect 2: Lair of the Shadow Broker,2010-09-07,86,8.5,36,2465145,15562,394,0,4098,11,204,"Role-Playing, Action RPG, Action RPG",M,10,1,0,14,2,2, Mass Effect 2,http://www.vgchartz.com/game/28816/mass-effect-2/,0.39
